municipio,provincia,codigo_ine,num_centros_salud,municipio_nombre_humano
Copernal,Guadalajara,19098,1,Copernal
Copons,Barcelona,8071,1,Copons
Corbalán,Teruel,44082,1,Corbalán
Corbera,Valencia,46098,1,Corbera
Corbera d'Ebre,Tarragona,43048,1,Corbera d'Ebre
Corbera de Llobregat,Barcelona,8072,1,Corbera de Llobregat
Corbillos de los Oteros,León,24058,1,Corbillos de los Oteros
Corbins,Lleida,25078,1,Corbins
Corçà,Girona,17057,1,Corçà
Corcos,Valladolid,47055,1,Corcos
Corcubión,A Coruña,15028,1,Corcubión
Córdoba,Córdoba,14021,22,Córdoba
Cordobilla de Lácara,Badajoz,6038,1,Cordobilla de Lácara
Cordovilla,Salamanca,37110,1,Cordovilla
Cordovilla la Real,Palencia,34063,1,Cordovilla la Real
Cordovín,La Rioja,26052,1,Cordovín
Corduente,Guadalajara,19099,9,Corduente
Corella,Navarra,31077,1,Corella
Corera,La Rioja,26053,1,Corera
Coreses,Zamora,49053,1,Coreses
Corgo (O),Lugo,27014,1,O Corgo
Coria,Cáceres,10067,3,Coria
Coria del Río,Sevilla,41034,2,Coria del Río
Coripe,Sevilla,41035,1,Coripe
Coristanco,A Coruña,15029,2,Coristanco
Cornago,La Rioja,26054,1,Cornago
Cornellà de Llobregat,Barcelona,8073,6,Cornellà de Llobregat
Cornellà del Terri,Girona,17056,1,Cornellà del Terri
Cornudella de Montsant,Tarragona,43049,1,Cornudella de Montsant
Coronada (La),Badajoz,6039,1,La Coronada
Coronil (El),Sevilla,41036,1,El Coronil
Corpa,Madrid,28048,1,Corpa
Corporales,La Rioja,26055,2,Corporales
Corral de Almaguer,Toledo,45054,1,Corral de Almaguer
Corral de Ayllón,Segovia,40061,1,Corral de Ayllón
Corral de Calatrava,Ciudad Real,13035,1,Corral de Calatrava
Corral-Rubio,Albacete,2027,2,Corral-Rubio
Corrales (Los),Sevilla,41037,1,Los Corrales
Corrales de Buelna (Los),Cantabria,39025,1,Los Corrales de Buelna
Corrales de Duero,Valladolid,47056,1,Corrales de Duero
Corrales del Vino,Zamora,49054,3,Corrales del Vino
Corte de Peleas,Badajoz,6040,1,Corte de Peleas
Corteconcepción,Huelva,21024,1,Corteconcepción
Cortegada,Ourense,32027,1,Cortegada
Cortegana,Huelva,21025,4,Cortegana
Cortelazor,Huelva,21026,1,Cortelazor
Cortes,Navarra,31078,1,Cortes
Cortes de Aragón,Teruel,44084,1,Cortes de Aragón
Cortes de Arenoso,Castellón,12048,2,Cortes de Arenoso
Cortes de Baza,Granada,18053,5,Cortes de Baza
Cortes de la Frontera,Málaga,29046,3,Cortes de la Frontera
Cortes de Pallás,Valencia,46099,6,Cortes de Pallás
Cortes y Graena,Granada,18054,4,Cortes y Graena
Cortijos (Los),Ciudad Real,13036,1,Los Cortijos
Corullón,León,24059,1,Corullón
Coruña (A),A Coruña,15030,14,A Coruña
Coruña del Conde,Burgos,9112,1,Coruña del Conde
Corvera de Asturias,Asturias,33020,3,Corvera de Asturias
Corvera de Toranzo,Cantabria,39026,2,Corvera de Toranzo
Cosa,Teruel,44085,2,Cosa
Coscurita,Soria,42068,1,Coscurita
Coslada,Madrid,28049,6,Coslada
Cospeito,Lugo,27015,2,Cospeito
Costitx,Illes Balears,7017,1,Costitx
Costur,Castellón,12049,1,Costur
Cosuenda,Zaragoza,50088,1,Cosuenda
Cotanes del Monte,Zamora,49055,1,Cotanes del Monte
Cotes,Valencia,46100,1,Cotes
Cotillas,Albacete,2028,2,Cotillas
Covaleda,Soria,42069,1,Covaleda
Covarrubias,Burgos,9113,1,Covarrubias
Covelo,Pontevedra,36013,2,Covelo
Coves de Vinromà (les),Castellón,12050,1,Les Coves de Vinromà
Cox,Alicante,3058,1,Cox
Cózar,Ciudad Real,13037,1,Cózar
Cozuelos de Fuentidueña,Segovia,40902,1,Cozuelos de Fuentidueña
Crecente,Pontevedra,36014,2,Crecente
Creixell,Tarragona,43050,1,Creixell
Crémenes,León,24060,1,Crémenes
Crespià,Girona,17058,1,Crespià
Crespos,Ávila,5065,3,Crespos
Cretas,Teruel,44086,1,Cretas
Crevillent,Alicante,3059,3,Crevillent
Cristina,Badajoz,6041,1,Cristina
Cristóbal,Salamanca,37112,1,Cristóbal
Crivillén,Teruel,44087,1,Crivillén
Cruïlles Monells i Sant Sadurní de l'Heura,Girona,17901,3,Cruïlles Monells i Sant Sadurní de l'Heura
Cuacos de Yuste,Cáceres,10068,1,Cuacos de Yuste
Cuadros,León,24061,6,Cuadros
Cualedro,Ourense,32028,1,Cualedro
Cuarte de Huerva,Zaragoza,50089,1,Cuarte de Huerva
Cuba (La),Teruel,44088,0,La Cuba
Cubas de la Sagra,Madrid,28050,1,Cubas de la Sagra
Cubel,Zaragoza,50090,1,Cubel
Cubelles,Barcelona,8074,1,Cubelles
Cubells,Lleida,25079,1,Cubells
Cubilla,Soria,42070,1,Cubilla
Cubillas de Cerrato,Palencia,34066,1,Cubillas de Cerrato
Cubillas de los Oteros,León,24062,2,Cubillas de los Oteros
Cubillas de Rueda,León,24063,2,Cubillas de Rueda
Cubillas de Santa Marta,Valladolid,47057,1,Cubillas de Santa Marta
Cubillo,Segovia,40062,1,Cubillo
Cubillo de Uceda (El),Guadalajara,19102,1,El Cubillo de Uceda
Cubillo del Campo,Burgos,9114,1,Cubillo del Campo
Cubillos,Zamora,49056,1,Cubillos
Cubillos del Sil,León,24064,3,Cubillos del Sil
Cubla,Teruel,44089,1,Cubla
Cubo de Benavente,Zamora,49057,1,Cubo de Benavente
Cubo de Bureba,Burgos,9115,1,Cubo de Bureba
Cubo de Don Sancho (El),Salamanca,37113,1,El Cubo de Don Sancho
Cubo de la Solana,Soria,42071,4,Cubo de la Solana
Cubo de Tierra del Vino (El),Zamora,49058,1,El Cubo de Tierra del Vino
Cucalón,Teruel,44090,1,Cucalón
Cudillero,Asturias,33021,3,Cudillero
Cuelgamures,Zamora,49059,1,Cuelgamures
Cuéllar,Segovia,40063,10,Cuéllar
Cuenca,Cuenca,16078,12,Cuenca
Cuenca de Campos,Valladolid,47058,1,Cuenca de Campos
Cuerlas (Las),Zaragoza,50091,1,Las Cuerlas
Cuerva,Toledo,45055,1,Cuerva
Cuervo (El),Teruel,41903,1,El Cuervo
Cuervo de Sevilla (El),Sevilla,44092,1,El Cuervo de Sevilla
Cueva de Ágreda,Soria,42073,1,Cueva de Ágreda
Cueva de Roa (La),Burgos,9117,1,La Cueva de Roa
Cueva del Hierro,Cuenca,16079,1,Cueva del Hierro
Cuevas Bajas,Málaga,29047,1,Cuevas Bajas
Cuevas de Almudén,Teruel,44093,1,Cuevas de Almudén
Cuevas de Provanco,Segovia,40905,1,Cuevas de Provanco
Cuevas de San Clemente,Burgos,9119,1,Cuevas de San Clemente
Cuevas de San Marcos,Málaga,29049,1,Cuevas de San Marcos
Cuevas del Almanzora,Almería,4035,6,Cuevas del Almanzora
Cuevas del Becerro,Málaga,29048,1,Cuevas del Becerro
Cuevas del Campo,Granada,18912,2,Cuevas del Campo
Cuevas del Valle,Ávila,5066,1,Cuevas del Valle
Cuevas Labradas,Teruel,44094,1,Cuevas Labradas
Culla,Castellón,12051,2,Culla
Cúllar,Granada,18056,5,Cúllar
Cúllar Vega,Granada,18057,1,Cúllar Vega
Cullera,Valencia,46105,7,Cullera
Culleredo,A Coruña,15031,3,Culleredo
Cumbre (La),Cáceres,10069,1,La Cumbre
Cumbres de Enmedio,Huelva,21027,1,Cumbres de Enmedio
Cumbres de San Bartolomé,Huelva,21028,1,Cumbres de San Bartolomé
Cumbres Mayores,Huelva,21029,1,Cumbres Mayores
Cunit,Tarragona,43051,1,Cunit
Cuntis,Pontevedra,36015,1,Cuntis
Curiel de Duero,Valladolid,47059,1,Curiel de Duero
Curtis,A Coruña,15032,2,Curtis
Cútar,Málaga,29050,1,Cútar
Cuzcurrita de Río Tirón,La Rioja,26056,1,Cuzcurrita de Río Tirón
Daganzo de Arriba,Madrid,28053,1,Daganzo de Arriba
Daimiel,Ciudad Real,13039,2,Daimiel
Daimús,Valencia,46113,2,Daimús
Dalías,Almería,4038,1,Dalías
Darnius,Girona,17060,1,Darnius
Daroca,Zaragoza,50094,1,Daroca
Daroca de Rioja,La Rioja,26057,1,Daroca de Rioja
Darro,Granada,18063,1,Darro
Das,Girona,17061,0,Das
Daya Nueva,Alicante,3061,1,Daya Nueva
Daya Vieja,Alicante,3062,1,Daya Vieja
Deba,Gipuzkoa,20029,2,Deba
Degaña,Asturias,33022,2,Degaña
Dehesa de Montejo,Palencia,34067,4,Dehesa de Montejo
Dehesa de Romanos,Palencia,34068,1,Dehesa de Romanos
Dehesas de Guadix,Granada,18064,1,Dehesas de Guadix
Dehesas Viejas,Granada,18065,0,Dehesas Viejas
Deià,Illes Balears,7018,1,Deià
Deifontes,Granada,18066,1,Deifontes
Deleitosa,Cáceres,10070,1,Deleitosa
Deltebre,Tarragona,43901,1,Deltebre
Dénia,Alicante,3063,5,Dénia
Derio,Bizkaia,48901,1,Derio
Descargamaría,Cáceres,10071,1,Descargamaría
Desojo,Navarra,31079,1,Desojo
Destriana,León,24066,3,Destriana
Dévanos,Soria,42075,1,Dévanos
Deza,Soria,42076,3,Deza
Dicastillo,Navarra,31080,1,Dicastillo
Diego del Carpio,Ávila,5903,2,Diego del Carpio
Diezma,Granada,18067,2,Diezma
Dílar,Granada,18068,1,Dílar
Dima,Bizkaia,48026,1,Dima
Dios le Guarde,Salamanca,37115,1,Dios le Guarde
Dodro,A Coruña,15033,1,Dodro
Dólar,Granada,18069,1,Dólar
Dolores,Alicante,3064,1,Dolores
Domeño,Valencia,46114,1,Domeño
Domingo García,Segovia,40068,1,Domingo García
Domingo Pérez,Toledo,45058,1,Domingo Pérez
Domingo Pérez de Granada,Granada,18915,0,Domingo Pérez de Granada
Don Álvaro,Badajoz,6043,1,Don Álvaro
Don Benito,Badajoz,6044,9,Don Benito
Donamaria,Navarra,31081,0,Donamaria
Doneztebe/Santesteban,Navarra,31221,1,Doneztebe/Santesteban
Donhierro,Segovia,40069,1,Donhierro
Donjimeno,Ávila,5069,1,Donjimeno
Donostia/San Sebastián,Gipuzkoa,20069,12,Donostia/San Sebastián
Donvidas,Ávila,5070,1,Donvidas
Doña Mencía,Córdoba,14022,1,Doña Mencía
Doñinos de Ledesma,Salamanca,37116,1,Doñinos de Ledesma
Doñinos de Salamanca,Salamanca,37117,1,Doñinos de Salamanca
Dos Aguas,Valencia,46115,1,Dos Aguas
Dos Hermanas,Sevilla,41038,8,Dos Hermanas
Dos Torres,Córdoba,14023,1,Dos Torres
Dosbarrios,Toledo,45059,1,Dosbarrios
Dosrius,Barcelona,8075,3,Dosrius
Dozón,Pontevedra,36016,1,Dozón
Driebes,Guadalajara,19107,1,Driebes
Dúdar,Granada,18070,1,Dúdar
Dueñas,Palencia,34069,1,Dueñas
Duesaigües,Tarragona,43053,1,Duesaigües
Dumbría,A Coruña,15034,2,Dumbría
Durango,Bizkaia,48027,1,Durango
Dúrcal,Granada,18071,1,Dúrcal
Durón,Guadalajara,19108,1,Durón
Duruelo,Segovia,40070,2,Duruelo
Duruelo de la Sierra,Soria,42078,1,Duruelo de la Sierra
Ea,Bizkaia,48028,1,Ea
Echarri/Etxarri,Navarra,31083,0,Echarri/Etxarri
Écija,Sevilla,41039,4,Écija
Eibar,Gipuzkoa,20030,2,Eibar
Eivissa,Illes Balears,7026,3,Eivissa
Ejea de los Caballeros,Zaragoza,50095,9,Ejea de los Caballeros
Éjeme,Salamanca,37118,2,Éjeme
Ejido (El),Almería,4902,11,El Ejido
Ejulve,Teruel,44096,1,Ejulve
Elantxobe,Bizkaia,48031,1,Elantxobe
Elburgo/Burgelu,Álava,1021,0,Elburgo/Burgelu
Elche de la Sierra,Albacete,2030,4,Elche de la Sierra
Elche/Elx,Alicante,3065,17,Elche/Elx
Elciego,Álava,1022,1,Elciego
Elda,Alicante,3066,3,Elda
Elduain,Gipuzkoa,20031,1,Elduain
Elgeta,Gipuzkoa,20033,1,Elgeta
Elgoibar,Gipuzkoa,20032,1,Elgoibar
Elgorriaga,Navarra,31087,1,Elgorriaga
Eliana (l'),Valencia,46116,1,L' Eliana
Eljas,Cáceres,10072,1,Eljas
Elorrio,Bizkaia,48032,1,Elorrio
Elvillar/Bilar,Álava,1023,1,Elvillar/Bilar
Embid,Guadalajara,19109,1,Embid
Embid de Ariza,Zaragoza,50096,1,Embid de Ariza
Emperador,Valencia,46117,1,Emperador
Encina (La),Salamanca,37119,1,La Encina
Encina de San Silvestre,Salamanca,37120,1,Encina de San Silvestre
Encinacorba,Zaragoza,50098,1,Encinacorba
Encinas,Segovia,40071,1,Encinas
Encinas de Abajo,Salamanca,37121,2,Encinas de Abajo
Encinas de Arriba,Salamanca,37122,1,Encinas de Arriba
Encinas de Esgueva,Valladolid,47060,1,Encinas de Esgueva
Encinas Reales,Córdoba,14024,1,Encinas Reales
Encinasola,Huelva,21031,1,Encinasola
Encinasola de los Comendadores,Salamanca,37123,2,Encinasola de los Comendadores
Encinedo,León,24067,7,Encinedo
Encinillas,Segovia,40072,1,Encinillas
Encío,Burgos,9120,0,Encío
Enciso,La Rioja,26058,1,Enciso
Endrinal,Salamanca,37124,2,Endrinal
Enériz/Eneritz,Navarra,31089,1,Enériz/Eneritz
Enguera,Valencia,46118,2,Enguera
Enguídanos,Cuenca,16082,1,Enguídanos
Enix,Almería,4041,1,Enix
Ènova (l'),Valencia,46119,1,L' Ènova
Entrala,Zamora,49061,1,Entrala
Entrambasaguas,Cantabria,39028,1,Entrambasaguas
Entrena,La Rioja,26059,1,Entrena
Entrimo,Ourense,32030,1,Entrimo
Entrín Bajo,Badajoz,6045,2,Entrín Bajo
Épila,Zaragoza,50099,1,Épila
Erandio,Bizkaia,48902,3,Erandio
Eratsun,Navarra,31090,1,Eratsun
Ercina (La),León,24068,2,La Ercina
Ereño,Bizkaia,48033,1,Ereño
Ergoiena,Navarra,31091,3,Ergoiena
Erla,Zaragoza,50100,1,Erla
Ermua,Bizkaia,48034,1,Ermua
Errenteria,Gipuzkoa,20067,2,Errenteria
Errezil,Gipuzkoa,20066,1,Errezil
Erriberabeitia,Álava,1047,1,Erriberabeitia
Erriberagoitia/Ribera Alta,Álava,1046,1,Erriberagoitia/Ribera Alta
Errigoiti,Bizkaia,48079,1,Errigoiti
Erro,Navarra,31092,7,Erro
Erustes,Toledo,45060,1,Erustes
Escacena del Campo,Huelva,21032,1,Escacena del Campo
Escala (L'),Girona,17062,1,L' Escala
Escalante,Cantabria,39029,1,Escalante
Escalona,Toledo,45061,1,Escalona
Escalona del Prado,Segovia,40073,1,Escalona del Prado
Escalonilla,Toledo,45062,1,Escalonilla
Escamilla,Guadalajara,19110,1,Escamilla
Escañuela,Jaén,23031,1,Escañuela
Escarabajosa de Cabezas,Segovia,40074,1,Escarabajosa de Cabezas
Escariche,Guadalajara,19111,1,Escariche
Escatrón,Zaragoza,50101,1,Escatrón
Escobar de Campos,León,24069,1,Escobar de Campos
Escobar de Polendos,Segovia,40075,3,Escobar de Polendos
Escobosa de Almazán,Soria,42079,1,Escobosa de Almazán
Escopete,Guadalajara,19112,1,Escopete
Escorca,Illes Balears,7019,2,Escorca
Escorial (El),Madrid,28054,2,El Escorial
Escorihuela,Teruel,44097,1,Escorihuela
Escucha,Teruel,44099,2,Escucha
Escurial,Cáceres,10073,1,Escurial
Escurial de la Sierra,Salamanca,37125,1,Escurial de la Sierra
Escúzar,Granada,18072,1,Escúzar
Esgos,Ourense,32031,1,Esgos
Esguevillas de Esgueva,Valladolid,47061,1,Esguevillas de Esgueva
Eskoriatza,Gipuzkoa,20034,1,Eskoriatza
Eslava,Navarra,31094,1,Eslava
Eslida,Castellón,12057,1,Eslida
Espadaña,Salamanca,37126,1,Espadaña
Espadañedo,Zamora,49062,3,Espadañedo
Espadilla,Castellón,12058,1,Espadilla
Esparragalejo,Badajoz,6046,1,Esparragalejo
Esparragosa de la Serena,Badajoz,6047,1,Esparragosa de la Serena
Esparragosa de Lares,Badajoz,6048,1,Esparragosa de Lares
Esparreguera,Barcelona,8076,1,Esparreguera
Espartinas,Sevilla,41040,1,Espartinas
Esparza de Salazar/Espartza Zaraitzu,Navarra,31095,1,Esparza de Salazar/Espartza Zaraitzu
Espeja,Salamanca,37127,1,Espeja
Espeja de San Marcelino,Soria,42080,5,Espeja de San Marcelino
Espejo,Córdoba,14025,1,Espejo
Espejón,Soria,42081,1,Espejón
Espeluy,Jaén,23032,2,Espeluy
Espera,Cádiz,11017,1,Espera
Espiel,Córdoba,14026,1,Espiel
Espinar (El),Segovia,40076,4,El Espinar
Espinelves,Girona,17063,1,Espinelves
Espino de la Orbada,Salamanca,37128,1,Espino de la Orbada
Espinosa de Cerrato,Palencia,34070,1,Espinosa de Cerrato
Espinosa de Cervera,Burgos,9122,1,Espinosa de Cervera
Espinosa de Henares,Guadalajara,19113,2,Espinosa de Henares
Espinosa de los Caballeros,Ávila,5072,1,Espinosa de los Caballeros
Espinosa de los Monteros,Burgos,9124,3,Espinosa de los Monteros
Espinosa de Villagonzalo,Palencia,34071,1,Espinosa de Villagonzalo
Espinosa del Camino,Burgos,9123,1,Espinosa del Camino
Espinoso del Rey,Toledo,45063,1,Espinoso del Rey
Espirdo,Segovia,40077,3,Espirdo
Esplegares,Guadalajara,19114,1,Esplegares
Espluga Calba (L'),Lleida,43054,1,L' Espluga Calba
Espluga de Francolí (L'),Tarragona,25081,1,L' Espluga de Francolí
Esplugues de Llobregat,Barcelona,8077,2,Esplugues de Llobregat
Esplús,Huesca,22099,1,Esplús
Espolla,Girona,17064,0,Espolla
Esponellà,Girona,17065,1,Esponellà
Esporles,Illes Balears,7020,1,Esporles
Espot,Lleida,25082,1,Espot
Espronceda,Navarra,31096,1,Espronceda
Espunyola (L'),Barcelona,8078,0,L' Espunyola
Esquirol (L'),Barcelona,8254,2,L' Esquirol
Esquivias,Toledo,45064,1,Esquivias
Establés,Guadalajara,19115,2,Establés
Estada,Huesca,22102,1,Estada
Estadilla,Huesca,22103,1,Estadilla
Estamariu,Lleida,25088,1,Estamariu
Estany (L'),Barcelona,8079,1,L' Estany
Estaràs,Lleida,25085,1,Estaràs
Estella-Lizarra,Navarra,31097,1,Estella-Lizarra
Estellencs,Illes Balears,7021,1,Estellencs
Estepa,Sevilla,41041,1,Estepa
Estepa de San Juan,Soria,42082,0,Estepa de San Juan
Estépar,Burgos,9125,10,Estépar
Estepona,Málaga,29051,3,Estepona
Estercuel,Teruel,44100,1,Estercuel
Esteribar,Navarra,31098,3,Esteribar
Esterri d'Àneu,Lleida,25086,1,Esterri d'Àneu
Esterri de Cardós,Lleida,25087,0,Esterri de Cardós
Estivella,Valencia,46120,1,Estivella
Estollo,La Rioja,26060,1,Estollo
Estopiñán del Castillo,Huesca,22105,1,Estopiñán del Castillo
Estrada (A),Pontevedra,36017,4,A Estrada
Estrella (La),Toledo,45065,2,La Estrella
Estremera,Madrid,28055,1,Estremera
Estriégana,Guadalajara,19116,1,Estriégana
Estubeny,Valencia,46121,1,Estubeny
Etayo,Navarra,31099,0,Etayo
Etxalar,Navarra,31082,1,Etxalar
Etxarri Aranatz,Navarra,31084,1,Etxarri Aranatz
Etxauri,Navarra,31085,1,Etxauri
Etxebarri,Bizkaia,48029,1,Etxebarri
Etxebarria,Bizkaia,48030,1,Etxebarria
Eulate,Navarra,31100,1,Eulate
Ezcabarte,Navarra,31101,1,Ezcabarte
Ezcaray,La Rioja,26061,1,Ezcaray
Ezcároz/Ezkaroze,Navarra,31093,1,Ezcároz/Ezkaroze
Ezkio-Itsaso,Gipuzkoa,20035,1,Ezkio-Itsaso
Ezkurra,Navarra,31102,1,Ezkurra
Ezprogui,Navarra,31103,1,Ezprogui
Fabara,Zaragoza,50102,1,Fabara
Fabero,León,24070,5,Fabero
Facheca,Alicante,3067,1,Facheca
Fago,Huesca,22106,1,Fago
Falces,Navarra,31104,1,Falces
Falset,Tarragona,43055,1,Falset
Famorca,Alicante,3068,1,Famorca
Fanlo,Huesca,22107,0,Fanlo
Fanzara,Castellón,12059,1,Fanzara
Far d'Empordà (El),Girona,17005,1,El Far d'Empordà
Faraján,Málaga,29052,1,Faraján
Faramontanos de Tábara,Zamora,49063,1,Faramontanos de Tábara
Fariza,Zamora,49064,7,Fariza
Farlete,Zaragoza,50104,1,Farlete
Farrera,Lleida,25089,0,Farrera
Fasnia,Santa Cruz de Tenerife,38012,2,Fasnia
Fatarella (La),Tarragona,43056,1,La Fatarella
Faura,Valencia,46122,1,Faura
Favara,Valencia,46123,1,Favara
Fayón,Zaragoza,50105,1,Fayón
Fayos (Los),Zaragoza,50106,1,Los Fayos
Febró (La),Tarragona,43057,0,La Febró
Felanitx,Illes Balears,7022,4,Felanitx
Felix,Almería,4043,1,Felix
Fene,A Coruña,15035,2,Fene
Férez,Albacete,2031,1,Férez
Feria,Badajoz,6049,1,Feria
Fermoselle,Zamora,49065,1,Fermoselle
Fernán Caballero,Ciudad Real,13040,1,Fernán Caballero
Fernán-Núñez,Córdoba,14027,1,Fernán-Núñez
Ferreira,Granada,18074,1,Ferreira
Ferreras de Abajo,Zamora,49066,2,Ferreras de Abajo
Ferreras de Arriba,Zamora,49067,2,Ferreras de Arriba
Ferreries,Illes Balears,7023,1,Ferreries
Ferreruela,Zamora,49068,3,Ferreruela
Ferreruela de Huerva,Teruel,44101,1,Ferreruela de Huerva
Ferrol,A Coruña,15036,4,Ferrol
Figaró-Montmany,Barcelona,8134,1,Figaró-Montmany
Fígols,Barcelona,8080,0,Fígols
Fígols i Alinyà,Lleida,25908,2,Fígols i Alinyà
Figuera (La),Tarragona,43058,1,La Figuera
Figueres,Girona,17066,4,Figueres
Figuerola del Camp,Tarragona,43059,1,Figuerola del Camp
Figueroles,Castellón,12060,1,Figueroles
Figueruela de Arriba,Zamora,49069,5,Figueruela de Arriba
Figueruelas,Zaragoza,50107,1,Figueruelas
Fines,Almería,4044,1,Fines
Finestrat,Alicante,3069,2,Finestrat
Fiñana,Almería,4045,1,Fiñana
Firgas,Las Palmas,35008,2,Firgas
Fiscal,Huesca,22109,1,Fiscal
Fisterra,A Coruña,15037,1,Fisterra
Fitero,Navarra,31105,1,Fitero
Flaçà,Girona,17067,1,Flaçà
Flix,Tarragona,43060,1,Flix
Flores de Ávila,Ávila,5073,2,Flores de Ávila
Floresta (La),Lleida,25092,1,La Floresta
Florida de Liébana,Salamanca,37129,1,Florida de Liébana
Fogars de la Selva,Barcelona,8082,1,Fogars de la Selva
Fogars de Montclús,Barcelona,8081,0,Fogars de Montclús
Foios,Valencia,46126,1,Foios
Foixà,Girona,17068,1,Foixà
Folgoso de la Ribera,León,24071,5,Folgoso de la Ribera
Folgoso do Courel,Lugo,27017,2,Folgoso do Courel
Folgueroles,Barcelona,8083,1,Folgueroles
Fombellida,Valladolid,47062,1,Fombellida
Fombuena,Zaragoza,50108,1,Fombuena
Fompedraza,Valladolid,47063,1,Fompedraza
Foncea,La Rioja,26062,1,Foncea
Fondarella,Lleida,25093,1,Fondarella
Fondó de les Neus (el)/Hondón de las Nieves,Alicante,3077,2,El Fondó de les Neus/Hondón de las Nieves
Fondón,Almería,4046,3,Fondón
Fonelas,Granada,18076,1,Fonelas
Fonfría,Zamora,49071,8,Fonfría
Fonfría,Teruel,44102,1,Fonfría
Fonollosa,Barcelona,8084,3,Fonollosa
Fonsagrada (A),Lugo,27018,1,A Fonsagrada
Font d'En Carròs (la),Valencia,46127,1,La Font d'En Carròs
Font de la Figuera (la),Valencia,46128,1,La Font de la Figuera
Font-rubí,Barcelona,8085,1,Font-rubí
Fontanals de Cerdanya,Girona,17069,0,Fontanals de Cerdanya
Fontanar,Guadalajara,19117,1,Fontanar
Fontanarejo,Ciudad Real,13041,1,Fontanarejo
Fontanars dels Alforins,Valencia,46124,1,Fontanars dels Alforins
Fontanilles,Girona,17070,0,Fontanilles
Fontcoberta,Girona,17071,1,Fontcoberta
Fontellas,Navarra,31106,1,Fontellas
Fontihoyuelo,Valladolid,47064,1,Fontihoyuelo
Fontioso,Burgos,9127,1,Fontioso
Fontiveros,Ávila,5074,1,Fontiveros
Fonz,Huesca,22110,2,Fonz
Fonzaleche,La Rioja,26063,2,Fonzaleche
Foradada,Lleida,25094,0,Foradada
Foradada del Toscar,Huesca,22111,0,Foradada del Toscar
Forallac,Girona,17902,3,Forallac
Forcall,Castellón,12061,1,Forcall
Forcarei,Pontevedra,36018,2,Forcarei
Forès,Tarragona,43061,1,Forès
Forfoleda,Salamanca,37130,1,Forfoleda
Formentera,Illes Balears,7024,1,Formentera
Formentera del Segura,Alicante,3070,2,Formentera del Segura
Formiche Alto,Teruel,44103,2,Formiche Alto
Fornalutx,Illes Balears,7025,1,Fornalutx
Fornells de la Selva,Girona,17073,1,Fornells de la Selva
Fornelos de Montes,Pontevedra,36019,1,Fornelos de Montes
Fornes,Granada,18077,0,Fornes
Fórnoles,Teruel,44105,1,Fórnoles
Fortaleny,Valencia,46125,1,Fortaleny
Fortanete,Teruel,44106,1,Fortanete
Fortià,Girona,17074,1,Fortià
Fortuna,Murcia,30020,2,Fortuna
Forua,Bizkaia,48906,1,Forua
Foz,Lugo,27019,1,Foz
Foz-Calanda,Teruel,44107,1,Foz-Calanda
Frades,A Coruña,15038,2,Frades
Frades de la Sierra,Salamanca,37131,1,Frades de la Sierra
Fraga,Huesca,22112,2,Fraga
Frago (El),Zaragoza,50109,1,El Frago
Frailes,Jaén,23033,1,Frailes
Franco (El),Asturias,33023,1,El Franco
Frandovínez,Burgos,9128,1,Frandovínez
Franqueses del Vallès (Les),Barcelona,8086,2,Les Franqueses del Vallès
Frasno (El),Zaragoza,50110,2,El Frasno
Frechilla,Palencia,34072,1,Frechilla
Frechilla de Almazán,Soria,42083,0,Frechilla de Almazán
Fregenal de la Sierra,Badajoz,6050,1,Fregenal de la Sierra
Fregeneda (La),Salamanca,37132,1,La Fregeneda
Freginals,Tarragona,43062,1,Freginals
Freila,Granada,18078,1,Freila
Fréscano,Zaragoza,50111,1,Fréscano
Fresneda (La),Teruel,44108,1,La Fresneda
Fresneda de Altarejos,Cuenca,16083,1,Fresneda de Altarejos
Fresneda de Cuéllar,Segovia,40078,1,Fresneda de Cuéllar
Fresneda de la Sierra,Cuenca,16084,1,Fresneda de la Sierra
Fresneda de la Sierra Tirón,Burgos,9129,1,Fresneda de la Sierra Tirón
Fresnedilla,Ávila,5075,1,Fresnedilla
Fresnedillas de la Oliva,Madrid,28056,1,Fresnedillas de la Oliva
Fresnedoso,Salamanca,37133,1,Fresnedoso
Fresnedoso de Ibor,Cáceres,10075,1,Fresnedoso de Ibor
Fresneña,Burgos,9130,2,Fresneña
Fresnillo de las Dueñas,Burgos,9131,1,Fresnillo de las Dueñas
Fresno (El),Ávila,5076,1,El Fresno
Fresno Alhándiga,Salamanca,37134,1,Fresno Alhándiga
Fresno de Cantespino,Segovia,40079,3,Fresno de Cantespino
Fresno de Caracena,Soria,42084,1,Fresno de Caracena
Fresno de la Fuente,Segovia,40080,1,Fresno de la Fuente
Fresno de la Polvorosa,Zamora,49075,1,Fresno de la Polvorosa
Fresno de la Ribera,Zamora,49076,1,Fresno de la Ribera
Fresno de la Vega,León,24073,1,Fresno de la Vega
Fresno de Río Tirón,Burgos,9132,1,Fresno de Río Tirón
Fresno de Rodilla,Burgos,9133,1,Fresno de Rodilla
Fresno de Sayago,Zamora,49077,2,Fresno de Sayago
Fresno de Torote,Madrid,28057,1,Fresno de Torote
Fresno del Río,Palencia,34073,1,Fresno del Río
Fresno el Viejo,Valladolid,47065,1,Fresno el Viejo
Frías,Burgos,9134,1,Frías
Frías de Albarracín,Teruel,44109,1,Frías de Albarracín
