municipio,provincia,municipio_nombre_humano,codigo_INE
Cintruénigo,Navarra,Cintruénigo,31072
Cipérez,Salamanca,Cipérez,37106
Cirat,Castellón,Cirat,12046
Cirauqui/Zirauki,Navarra,Cirauqui/Zirauki,31074
Ciria,Soria,Ciria,42064
Ciriza/Ziritza,Navarra,Ciriza/Ziritza,31075
Ciruelas,Guadalajara,Ciruelas,19088
Ciruelos,Toledo,Ciruelos,45050
Ciruelos de Cervera,Burgos,Ciruelos de Cervera,9105
Ciruelos del Pinar,Guadalajara,Ciruelos del Pinar,19089
Cirueña,La Rioja,Cirueña,26050
Cirujales del Río,Soria,Cirujales del Río,42065
Cisla,Ávila,Cisla,5060
Cisneros,Palencia,Cisneros,34059
Cistella,Girona,Cistella,17051
Cistérniga,Valladolid,Cistérniga,47052
Cistierna,León,Cistierna,24056
Ciudad Real,Ciudad Real,Ciudad Real,13034
Ciudad Rodrigo,Salamanca,Ciudad Rodrigo,37107
Ciutadella de Menorca,Illes Balears,Ciutadella de Menorca,7015
Ciutadilla,Lleida,Ciutadilla,25074
Cizur,Navarra,Cizur,31076
Clarés de Ribota,Zaragoza,Clarés de Ribota,50084
Clariana de Cardener,Lleida,Clariana de Cardener,25075
Clavijo,La Rioja,Clavijo,26051
Coaña,Asturias,Coaña,33018
Cóbdar,Almería,Cóbdar,4034
Cobeja,Toledo,Cobeja,45051
Cobeña,Madrid,Cobeña,28041
Cobeta,Guadalajara,Cobeta,19090
Cobisa,Toledo,Cobisa,45052
Cobos de Cerrato,Palencia,Cobos de Cerrato,34060
Cobos de Fuentidueña,Segovia,Cobos de Fuentidueña,40056
Cobreros,Zamora,Cobreros,49050
Coca,Segovia,Coca,40057
Coca de Alba,Salamanca,Coca de Alba,37108
Cocentaina,Alicante,Cocentaina,3056
Codo,Zaragoza,Codo,50085
Codoñera (La),Teruel,La Codoñera,44080
Codorniz,Segovia,Codorniz,40058
Codos,Zaragoza,Codos,50086
Codosera (La),Badajoz,La Codosera,6037
Cofrentes,Valencia,Cofrentes,46097
Cogeces de Íscar,Valladolid,Cogeces de Íscar,47053
Cogeces del Monte,Valladolid,Cogeces del Monte,47054
Cogollor,Guadalajara,Cogollor,19091
Cogollos,Burgos,Cogollos,9108
Cogollos de Guadix,Granada,Cogollos de Guadix,18049
Cogollos de la Vega,Granada,Cogollos de la Vega,18050
Cogolludo,Guadalajara,Cogolludo,19092
Cogul (El),Lleida,El Cogul,25076
Coín,Málaga,Coín,29042
Coirós,A Coruña,Coirós,15027
Colera,Girona,Colera,17054
Coles,Ourense,Coles,32026
Colilla (La),Ávila,La Colilla,5061
Colindres,Cantabria,Colindres,39023
Coll de Nargó,Lleida,Coll de Nargó,25077
Collado de Contreras,Ávila,Collado de Contreras,5062
Collado de la Vera,Cáceres,Collado de la Vera,10065
Collado del Mirón,Ávila,Collado del Mirón,5063
Collado Hermoso,Segovia,Collado Hermoso,40059
Collado Mediano,Madrid,Collado Mediano,28046
Collado Villalba,Madrid,Collado Villalba,28047
Collazos de Boedo,Palencia,Collazos de Boedo,34061
Collbató,Barcelona,Collbató,8069
Colldejou,Tarragona,Colldejou,43045
Collsuspina,Barcelona,Collsuspina,8070
Colmenar,Málaga,Colmenar,29043
Colmenar de Montemayor,Salamanca,Colmenar de Montemayor,37109
Colmenar de Oreja,Madrid,Colmenar de Oreja,28043
Colmenar del Arroyo,Madrid,Colmenar del Arroyo,28042
Colmenar Viejo,Madrid,Colmenar Viejo,28045
Colmenarejo,Madrid,Colmenarejo,28044
Colomera,Granada,Colomera,18051
Colomers,Girona,Colomers,17055
Colunga,Asturias,Colunga,33019
Colungo,Huesca,Colungo,22090
Coma i la Pedra (La),Lleida,La Coma i la Pedra,25163
Comares,Málaga,Comares,29044
Comillas,Cantabria,Comillas,39024
Cómpeta,Málaga,Cómpeta,29045
Conca de Dalt,Lleida,Conca de Dalt,25161
Condado de Castilnovo,Segovia,Condado de Castilnovo,40060
Condado de Treviño,Burgos,Condado de Treviño,9109
Condemios de Abajo,Guadalajara,Condemios de Abajo,19095
Condemios de Arriba,Guadalajara,Condemios de Arriba,19096
Conesa,Tarragona,Conesa,43046
Confrides,Alicante,Confrides,3057
Congosto,León,Congosto,24057
Congosto de Valdavia,Palencia,Congosto de Valdavia,34062
Congostrina,Guadalajara,Congostrina,19097
Conil de la Frontera,Cádiz,Conil de la Frontera,11014
Conquista,Córdoba,Conquista,14020
Conquista de la Sierra,Cáceres,Conquista de la Sierra,10066
Consell,Illes Balears,Consell,7016
Constantí,Tarragona,Constantí,43047
Constantina,Sevilla,Constantina,41033
Constanzana,Ávila,Constanzana,5064
Consuegra,Toledo,Consuegra,45053
Contamina,Zaragoza,Contamina,50087
Contreras,Burgos,Contreras,9110
Coomonte,Zamora,Coomonte,49052
Copernal,Guadalajara,Copernal,19098
Copons,Barcelona,Copons,8071
Corbalán,Teruel,Corbalán,44082
Corbera,Valencia,Corbera,46098
Corbera d'Ebre,Tarragona,Corbera d'Ebre,43048
Corbera de Llobregat,Barcelona,Corbera de Llobregat,8072
Corbillos de los Oteros,León,Corbillos de los Oteros,24058
Corbins,Lleida,Corbins,25078
Corçà,Girona,Corçà,17057
Corcos,Valladolid,Corcos,47055
Corcubión,A Coruña,Corcubión,15028
Córdoba,Córdoba,Córdoba,14021
Cordobilla de Lácara,Badajoz,Cordobilla de Lácara,6038
Cordovilla,Salamanca,Cordovilla,37110
Cordovilla la Real,Palencia,Cordovilla la Real,34063
Cordovín,La Rioja,Cordovín,26052
Corduente,Guadalajara,Corduente,19099
Corella,Navarra,Corella,31077
Corera,La Rioja,Corera,26053
Coreses,Zamora,Coreses,49053
Corgo (O),Lugo,O Corgo,27014
Coria,Cáceres,Coria,10067
Coria del Río,Sevilla,Coria del Río,41034
Coripe,Sevilla,Coripe,41035
Coristanco,A Coruña,Coristanco,15029
Cornago,La Rioja,Cornago,26054
Cornellà de Llobregat,Barcelona,Cornellà de Llobregat,8073
Cornellà del Terri,Girona,Cornellà del Terri,17056
Cornudella de Montsant,Tarragona,Cornudella de Montsant,43049
Coronada (La),Badajoz,La Coronada,6039
Coronil (El),Sevilla,El Coronil,41036
Corpa,Madrid,Corpa,28048
Corporales,La Rioja,Corporales,26055
Corral de Almaguer,Toledo,Corral de Almaguer,45054
Corral de Ayllón,Segovia,Corral de Ayllón,40061
Corral de Calatrava,Ciudad Real,Corral de Calatrava,13035
Corral-Rubio,Albacete,Corral-Rubio,2027
Corrales (Los),Sevilla,Los Corrales,41037
Corrales de Buelna (Los),Cantabria,Los Corrales de Buelna,39025
Corrales de Duero,Valladolid,Corrales de Duero,47056
Corrales del Vino,Zamora,Corrales del Vino,49054
Corte de Peleas,Badajoz,Corte de Peleas,6040
Corteconcepción,Huelva,Corteconcepción,21024
Cortegada,Ourense,Cortegada,32027
Cortegana,Huelva,Cortegana,21025
Cortelazor,Huelva,Cortelazor,21026
Cortes,Navarra,Cortes,31078
Cortes de Aragón,Teruel,Cortes de Aragón,44084
Cortes de Arenoso,Castellón,Cortes de Arenoso,12048
Cortes de Baza,Granada,Cortes de Baza,18053
Cortes de la Frontera,Málaga,Cortes de la Frontera,29046
Cortes de Pallás,Valencia,Cortes de Pallás,46099
Cortes y Graena,Granada,Cortes y Graena,18054
Cortijos (Los),Ciudad Real,Los Cortijos,13036
Corullón,León,Corullón,24059
Coruña (A),A Coruña,A Coruña,15030
Coruña del Conde,Burgos,Coruña del Conde,9112
Corvera de Asturias,Asturias,Corvera de Asturias,33020
Corvera de Toranzo,Cantabria,Corvera de Toranzo,39026
Cosa,Teruel,Cosa,44085
Coscurita,Soria,Coscurita,42068
Coslada,Madrid,Coslada,28049
Cospeito,Lugo,Cospeito,27015
Costitx,Illes Balears,Costitx,7017
Costur,Castellón,Costur,12049
Cosuenda,Zaragoza,Cosuenda,50088
Cotanes del Monte,Zamora,Cotanes del Monte,49055
Cotes,Valencia,Cotes,46100
Cotillas,Albacete,Cotillas,2028
Covaleda,Soria,Covaleda,42069
Covarrubias,Burgos,Covarrubias,9113
Covelo,Pontevedra,Covelo,36013
Coves de Vinromà (les),Castellón,les Coves de Vinromà,12050
Cox,Alicante,Cox,3058
Cózar,Ciudad Real,Cózar,13037
Cozuelos de Fuentidueña,Segovia,Cozuelos de Fuentidueña,40902
Crecente,Pontevedra,Crecente,36014
Creixell,Tarragona,Creixell,43050
Crémenes,León,Crémenes,24060
Crespià,Girona,Crespià,17058
Crespos,Ávila,Crespos,5065
Cretas,Teruel,Cretas,44086
Crevillent,Alicante,Crevillent,3059
Cristina,Badajoz,Cristina,6041
Cristóbal,Salamanca,Cristóbal,37112
Crivillén,Teruel,Crivillén,44087
Cruïlles Monells i Sant Sadurní de l'Heura,Girona,Cruïlles Monells i Sant Sadurní de l'Heura,17901
Cuacos de Yuste,Cáceres,Cuacos de Yuste,10068
Cuadros,León,Cuadros,24061
Cualedro,Ourense,Cualedro,32028
Cuarte de Huerva,Zaragoza,Cuarte de Huerva,50089
Cuba (La),Teruel,La Cuba,44088
Cubas de la Sagra,Madrid,Cubas de la Sagra,28050
Cubel,Zaragoza,Cubel,50090
Cubelles,Barcelona,Cubelles,8074
Cubells,Lleida,Cubells,25079
Cubilla,Soria,Cubilla,42070
Cubillas de Cerrato,Palencia,Cubillas de Cerrato,34066
Cubillas de los Oteros,León,Cubillas de los Oteros,24062
Cubillas de Rueda,León,Cubillas de Rueda,24063
Cubillas de Santa Marta,Valladolid,Cubillas de Santa Marta,47057
Cubillo,Segovia,Cubillo,40062
Cubillo de Uceda (El),Guadalajara,El Cubillo de Uceda,19102
Cubillo del Campo,Burgos,Cubillo del Campo,9114
Cubillos,Zamora,Cubillos,49056
Cubillos del Sil,León,Cubillos del Sil,24064
Cubla,Teruel,Cubla,44089
Cubo de Benavente,Zamora,Cubo de Benavente,49057
Cubo de Bureba,Burgos,Cubo de Bureba,9115
Cubo de Don Sancho (El),Salamanca,El Cubo de Don Sancho,37113
Cubo de la Solana,Soria,Cubo de la Solana,42071
Cubo de Tierra del Vino (El),Zamora,El Cubo de Tierra del Vino,49058
Cucalón,Teruel,Cucalón,44090
Cudillero,Asturias,Cudillero,33021
Cuelgamures,Zamora,Cuelgamures,49059
Cuéllar,Segovia,Cuéllar,40063
Cuenca,Cuenca,Cuenca,16078
Cuenca de Campos,Valladolid,Cuenca de Campos,47058
Cuerlas (Las),Zaragoza,Las Cuerlas,50091
Cuerva,Toledo,Cuerva,45055
Cuervo (El),Teruel,El Cuervo,41903
Cuervo de Sevilla (El),Sevilla,El Cuervo de Sevilla,44092
Cueva de Ágreda,Soria,Cueva de Ágreda,42073
Cueva de Roa (La),Burgos,La Cueva de Roa,9117
Cueva del Hierro,Cuenca,Cueva del Hierro,16079
Cuevas Bajas,Málaga,Cuevas Bajas,29047
Cuevas de Almudén,Teruel,Cuevas de Almudén,44093
Cuevas de Provanco,Segovia,Cuevas de Provanco,40905
Cuevas de San Clemente,Burgos,Cuevas de San Clemente,9119
Cuevas de San Marcos,Málaga,Cuevas de San Marcos,29049
Cuevas del Almanzora,Almería,Cuevas del Almanzora,4035
Cuevas del Becerro,Málaga,Cuevas del Becerro,29048
Cuevas del Campo,Granada,Cuevas del Campo,18912
Cuevas del Valle,Ávila,Cuevas del Valle,5066
Cuevas Labradas,Teruel,Cuevas Labradas,44094
Culla,Castellón,Culla,12051
Cúllar,Granada,Cúllar,18056
Cúllar Vega,Granada,Cúllar Vega,18057
Cullera,Valencia,Cullera,46105
Culleredo,A Coruña,Culleredo,15031
Cumbre (La),Cáceres,La Cumbre,10069
Cumbres de Enmedio,Huelva,Cumbres de Enmedio,21027
Cumbres de San Bartolomé,Huelva,Cumbres de San Bartolomé,21028
Cumbres Mayores,Huelva,Cumbres Mayores,21029
Cunit,Tarragona,Cunit,43051
Cuntis,Pontevedra,Cuntis,36015
Curiel de Duero,Valladolid,Curiel de Duero,47059
Curtis,A Coruña,Curtis,15032
Cútar,Málaga,Cútar,29050
Cuzcurrita de Río Tirón,La Rioja,Cuzcurrita de Río Tirón,26056
Daganzo de Arriba,Madrid,Daganzo de Arriba,28053
Daimiel,Ciudad Real,Daimiel,13039
Daimús,Valencia,Daimús,46113
Dalías,Almería,Dalías,4038
Darnius,Girona,Darnius,17060
Daroca,Zaragoza,Daroca,50094
Daroca de Rioja,La Rioja,Daroca de Rioja,26057
Darro,Granada,Darro,18063
Das,Girona,Das,17061
Daya Nueva,Alicante,Daya Nueva,3061
Daya Vieja,Alicante,Daya Vieja,3062
Deba,Gipuzkoa,Deba,20029
Degaña,Asturias,Degaña,33022
Dehesa de Montejo,Palencia,Dehesa de Montejo,34067
Dehesa de Romanos,Palencia,Dehesa de Romanos,34068
Dehesas de Guadix,Granada,Dehesas de Guadix,18064
Dehesas Viejas,Granada,Dehesas Viejas,18065
Deià,Illes Balears,Deià,7018
Deifontes,Granada,Deifontes,18066
Deleitosa,Cáceres,Deleitosa,10070
Deltebre,Tarragona,Deltebre,43901
Dénia,Alicante,Dénia,3063
Derio,Bizkaia,Derio,48901
Descargamaría,Cáceres,Descargamaría,10071
Desojo,Navarra,Desojo,31079
Destriana,León,Destriana,24066
Dévanos,Soria,Dévanos,42075
Deza,Soria,Deza,42076
Dicastillo,Navarra,Dicastillo,31080
Diego del Carpio,Ávila,Diego del Carpio,5903
Diezma,Granada,Diezma,18067
Dílar,Granada,Dílar,18068
Dima,Bizkaia,Dima,48026
Dios le Guarde,Salamanca,Dios le Guarde,37115
Dodro,A Coruña,Dodro,15033
Dólar,Granada,Dólar,18069
Dolores,Alicante,Dolores,3064
Domeño,Valencia,Domeño,46114
Domingo García,Segovia,Domingo García,40068
Domingo Pérez,Toledo,Domingo Pérez,45058
Domingo Pérez de Granada,Granada,Domingo Pérez de Granada,18915
Don Álvaro,Badajoz,Don Álvaro,6043
Don Benito,Badajoz,Don Benito,6044
Donamaria,Navarra,Donamaria,31081
Doneztebe/Santesteban,Navarra,Doneztebe/Santesteban,31221
Donhierro,Segovia,Donhierro,40069
Donjimeno,Ávila,Donjimeno,5069
Donostia/San Sebastián,Gipuzkoa,Donostia/San Sebastián,20069
Donvidas,Ávila,Donvidas,5070
Doña Mencía,Córdoba,Doña Mencía,14022
Doñinos de Ledesma,Salamanca,Doñinos de Ledesma,37116
Doñinos de Salamanca,Salamanca,Doñinos de Salamanca,37117
Dos Aguas,Valencia,Dos Aguas,46115
Dos Hermanas,Sevilla,Dos Hermanas,41038
Dos Torres,Córdoba,Dos Torres,14023
Dosbarrios,Toledo,Dosbarrios,45059
Dosrius,Barcelona,Dosrius,8075
Dozón,Pontevedra,Dozón,36016
Driebes,Guadalajara,Driebes,19107
Dúdar,Granada,Dúdar,18070
Dueñas,Palencia,Dueñas,34069
Duesaigües,Tarragona,Duesaigües,43053
Dumbría,A Coruña,Dumbría,15034
Durango,Bizkaia,Durango,48027
Dúrcal,Granada,Dúrcal,18071
Durón,Guadalajara,Durón,19108
Duruelo,Segovia,Duruelo,40070
Duruelo de la Sierra,Soria,Duruelo de la Sierra,42078
Ea,Bizkaia,Ea,48028
Echarri/Etxarri,Navarra,Echarri/Etxarri,31083
Écija,Sevilla,Écija,41039
Eibar,Gipuzkoa,Eibar,20030
Eivissa,Illes Balears,Eivissa,7026
Ejea de los Caballeros,Zaragoza,Ejea de los Caballeros,50095
Éjeme,Salamanca,Éjeme,37118
Ejido (El),Almería,El Ejido,4902
Ejulve,Teruel,Ejulve,44096
Elantxobe,Bizkaia,Elantxobe,48031
Elburgo/Burgelu,Álava,Elburgo/Burgelu,1021
Elche de la Sierra,Albacete,Elche de la Sierra,2030
Elche/Elx,Alicante,Elche/Elx,3065
Elciego,Álava,Elciego,1022
Elda,Alicante,Elda,3066
Elduain,Gipuzkoa,Elduain,20031
Elgeta,Gipuzkoa,Elgeta,20033
Elgoibar,Gipuzkoa,Elgoibar,20032
Elgorriaga,Navarra,Elgorriaga,31087
Eliana (l'),Valencia,L' Eliana,46116
Eljas,Cáceres,Eljas,10072
Elorrio,Bizkaia,Elorrio,48032
Elvillar/Bilar,Álava,Elvillar/Bilar,1023
Embid,Guadalajara,Embid,19109
Embid de Ariza,Zaragoza,Embid de Ariza,50096
Emperador,Valencia,Emperador,46117
Encina (La),Salamanca,La Encina,37120
Encina de San Silvestre,Salamanca,Encina de San Silvestre,37120
Encinacorba,Zaragoza,Encinacorba,50098
Encinas,Segovia,Encinas,40071
Encinas de Abajo,Salamanca,Encinas de Abajo,37121
Encinas de Arriba,Salamanca,Encinas de Arriba,37122
Encinas de Esgueva,Valladolid,Encinas de Esgueva,47060
Encinas Reales,Córdoba,Encinas Reales,14024
Encinasola,Huelva,Encinasola,21031
Encinasola de los Comendadores,Salamanca,Encinasola de los Comendadores,37123
Encinedo,León,Encinedo,24067
Encinillas,Segovia,Encinillas,40072
Encío,Burgos,Encío,9120
Enciso,La Rioja,Enciso,26058
Endrinal,Salamanca,Endrinal,37124
Enériz/Eneritz,Navarra,Enériz/Eneritz,31089
Enguera,Valencia,Enguera,46118
Enguídanos,Cuenca,Enguídanos,16082
Enix,Almería,Enix,4041
Ènova (l'),Valencia,L' Ènova,46119
Entrala,Zamora,Entrala,49061
Entrambasaguas,Cantabria,Entrambasaguas,39028
Entrena,La Rioja,Entrena,26059
Entrimo,Ourense,Entrimo,32030
Entrín Bajo,Badajoz,Entrín Bajo,6045
Épila,Zaragoza,Épila,50099
Erandio,Bizkaia,Erandio,48902
Eratsun,Navarra,Eratsun,31090
Ercina (La),León,La Ercina,24068
Ereño,Bizkaia,Ereño,48033
Ergoiena,Navarra,Ergoiena,31091
Erla,Zaragoza,Erla,50100
Ermua,Bizkaia,Ermua,48034
Errenteria,Gipuzkoa,Errenteria,20067
Errezil,Gipuzkoa,Errezil,20066
Erriberabeitia,Álava,Erriberabeitia,1047
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta,1046
Errigoiti,Bizkaia,Errigoiti,48079
Erro,Navarra,Erro,31092
Erustes,Toledo,Erustes,45060
Escacena del Campo,Huelva,Escacena del Campo,21032
Escala (L'),Girona,L' Escala,17062
Escalante,Cantabria,Escalante,39029
Escalona,Toledo,Escalona,45061
Escalona del Prado,Segovia,Escalona del Prado,40073
Escalonilla,Toledo,Escalonilla,45062
Escamilla,Guadalajara,Escamilla,19110
Escañuela,Jaén,Escañuela,23031
Escarabajosa de Cabezas,Segovia,Escarabajosa de Cabezas,40074
Escariche,Guadalajara,Escariche,19111
Escatrón,Zaragoza,Escatrón,50101
Escobar de Campos,León,Escobar de Campos,24069
Escobar de Polendos,Segovia,Escobar de Polendos,40075
Escobosa de Almazán,Soria,Escobosa de Almazán,42079
Escopete,Guadalajara,Escopete,19112
Escorca,Illes Balears,Escorca,7019
Escorial (El),Madrid,El Escorial,28054
Escorihuela,Teruel,Escorihuela,44097
Escucha,Teruel,Escucha,44099
Escurial,Cáceres,Escurial,10073
Escurial de la Sierra,Salamanca,Escurial de la Sierra,37125
Escúzar,Granada,Escúzar,18072
Esgos,Ourense,Esgos,32031
Esguevillas de Esgueva,Valladolid,Esguevillas de Esgueva,47061
Eskoriatza,Gipuzkoa,Eskoriatza,20034
Eslava,Navarra,Eslava,31094
Eslida,Castellón,Eslida,12057
Espadaña,Salamanca,Espadaña,37126
Espadañedo,Zamora,Espadañedo,49062
Espadilla,Castellón,Espadilla,12058
Esparragalejo,Badajoz,Esparragalejo,6046
Esparragosa de la Serena,Badajoz,Esparragosa de la Serena,6047
Esparragosa de Lares,Badajoz,Esparragosa de Lares,6048
Esparreguera,Barcelona,Esparreguera,8076
Espartinas,Sevilla,Espartinas,41040
Esparza de Salazar/Espartza Zaraitzu,Navarra,Esparza de Salazar/Espartza Zaraitzu,31095
Espeja,Salamanca,Espeja,37127
Espeja de San Marcelino,Soria,Espeja de San Marcelino,42080
Espejo,Córdoba,Espejo,14025
Espejón,Soria,Espejón,42081
Espeluy,Jaén,Espeluy,23032
Espera,Cádiz,Espera,11017
Espiel,Córdoba,Espiel,14026
Espinar (El),Segovia,El Espinar,40076
Espinelves,Girona,Espinelves,17063
Espino de la Orbada,Salamanca,Espino de la Orbada,37128
Espinosa de Cerrato,Palencia,Espinosa de Cerrato,34070
Espinosa de Cervera,Burgos,Espinosa de Cervera,9122
Espinosa de Henares,Guadalajara,Espinosa de Henares,19113
Espinosa de los Caballeros,Ávila,Espinosa de los Caballeros,5072
Espinosa de los Monteros,Burgos,Espinosa de los Monteros,9124
Espinosa de Villagonzalo,Palencia,Espinosa de Villagonzalo,34071
Espinosa del Camino,Burgos,Espinosa del Camino,9123
Espinoso del Rey,Toledo,Espinoso del Rey,45063
Espirdo,Segovia,Espirdo,40077
Esplegares,Guadalajara,Esplegares,19114
Espluga Calba (L'),Lleida,L' Espluga Calba,43054
Espluga de Francolí (L'),Tarragona,L' Espluga de Francolí,25081
Esplugues de Llobregat,Barcelona,Esplugues de Llobregat,8077
Esplús,Huesca,Esplús,22099
Espolla,Girona,Espolla,17064
Esponellà,Girona,Esponellà,17065
Esporles,Illes Balears,Esporles,7020
Espot,Lleida,Espot,25082
Espronceda,Navarra,Espronceda,31096
Espunyola (L'),Barcelona,L' Espunyola,8078
Esquirol (L'),Barcelona,L' Esquirol,8254
Esquivias,Toledo,Esquivias,45064
Establés,Guadalajara,Establés,19115
Estada,Huesca,Estada,22102
Estadilla,Huesca,Estadilla,22103
Estamariu,Lleida,Estamariu,25088
Estany (L'),Barcelona,L' Estany,8079
Estaràs,Lleida,Estaràs,25085
Estella-Lizarra,Navarra,Estella-Lizarra,31097
Estellencs,Illes Balears,Estellencs,7021
Estepa,Sevilla,Estepa,41041
Estepa de San Juan,Soria,Estepa de San Juan,42082
Estépar,Burgos,Estépar,9125
Estepona,Málaga,Estepona,29051
Estercuel,Teruel,Estercuel,44100
Esteribar,Navarra,Esteribar,31098
Esterri d'Àneu,Lleida,Esterri d'Àneu,25086
Esterri de Cardós,Lleida,Esterri de Cardós,25087
Estivella,Valencia,Estivella,46120
Estollo,La Rioja,Estollo,26060
Estopiñán del Castillo,Huesca,Estopiñán del Castillo,22105
Estrada (A),Pontevedra,A Estrada,36017
Estrella (La),Toledo,La Estrella,45065
Estremera,Madrid,Estremera,28055
Estriégana,Guadalajara,Estriégana,19116
Estubeny,Valencia,Estubeny,46121
Etayo,Navarra,Etayo,31099
Etxalar,Navarra,Etxalar,31082
Etxarri Aranatz,Navarra,Etxarri Aranatz,31084
Etxauri,Navarra,Etxauri,31085
Etxebarri,Bizkaia,Etxebarri,48029
Etxebarria,Bizkaia,Etxebarria,48030
Eulate,Navarra,Eulate,31100
Ezcabarte,Navarra,Ezcabarte,31101
Ezcaray,La Rioja,Ezcaray,26061
Ezcároz/Ezkaroze,Navarra,Ezcároz/Ezkaroze,31093
Ezkio-Itsaso,Gipuzkoa,Ezkio-Itsaso,20035
Ezkurra,Navarra,Ezkurra,31102
Ezprogui,Navarra,Ezprogui,31103
Fabara,Zaragoza,Fabara,50102
Fabero,León,Fabero,24070
Facheca,Alicante,Facheca,3067
Fago,Huesca,Fago,22106
Falces,Navarra,Falces,31104
Falset,Tarragona,Falset,43055
Famorca,Alicante,Famorca,3068
Fanlo,Huesca,Fanlo,22107
Fanzara,Castellón,Fanzara,12059
Far d'Empordà (El),Girona,El Far d'Empordà,17005
Faraján,Málaga,Faraján,29052
Faramontanos de Tábara,Zamora,Faramontanos de Tábara,49063
Fariza,Zamora,Fariza,49064
Farlete,Zaragoza,Farlete,50104
Farrera,Lleida,Farrera,25089
Fasnia,Santa Cruz de Tenerife,Fasnia,38012
Fatarella (La),Tarragona,La Fatarella,43056
Faura,Valencia,Faura,46122
Favara,Valencia,Favara,46123
Fayón,Zaragoza,Fayón,50105
Fayos (Los),Zaragoza,Los Fayos,50106
Febró (La),Tarragona,La Febró,43057
Felanitx,Illes Balears,Felanitx,7022
Felix,Almería,Felix,4043
Fene,A Coruña,Fene,15035
Férez,Albacete,Férez,2031
Feria,Badajoz,Feria,6049
Fermoselle,Zamora,Fermoselle,49065
Fernán Caballero,Ciudad Real,Fernán Caballero,13040
Fernán-Núñez,Córdoba,Fernán-Núñez,14027
Ferreira,Granada,Ferreira,18074
Ferreras de Abajo,Zamora,Ferreras de Abajo,49066
Ferreras de Arriba,Zamora,Ferreras de Arriba,49067
Ferreries,Illes Balears,Ferreries,7023
Ferreruela,Zamora,Ferreruela,49068
Ferreruela de Huerva,Teruel,Ferreruela de Huerva,44101
Ferrol,A Coruña,Ferrol,15036
Figaró-Montmany,Barcelona,Figaró-Montmany,8134
Fígols,Barcelona,Fígols,8080
Fígols i Alinyà,Lleida,Fígols i Alinyà,25908
Figuera (La),Tarragona,La Figuera,43058
Figueres,Girona,Figueres,17066
Figuerola del Camp,Tarragona,Figuerola del Camp,43059
Figueroles,Castellón,Figueroles,12060
Figueruela de Arriba,Zamora,Figueruela de Arriba,49069
Figueruelas,Zaragoza,Figueruelas,50107
Fines,Almería,Fines,4044
Finestrat,Alicante,Finestrat,3069
Fiñana,Almería,Fiñana,4045
Firgas,Las Palmas,Firgas,35008
Fiscal,Huesca,Fiscal,22109
Fisterra,A Coruña,Fisterra,15037
Fitero,Navarra,Fitero,31105
Flaçà,Girona,Flaçà,17067
Flix,Tarragona,Flix,43060
Flores de Ávila,Ávila,Flores de Ávila,5073
Floresta (La),Lleida,La Floresta,25092
Florida de Liébana,Salamanca,Florida de Liébana,37129
Fogars de la Selva,Barcelona,Fogars de la Selva,8082
Fogars de Montclús,Barcelona,Fogars de Montclús,8081
Foios,Valencia,Foios,46126
Foixà,Girona,Foixà,17068
Folgoso de la Ribera,León,Folgoso de la Ribera,24071
Folgoso do Courel,Lugo,Folgoso do Courel,27017
Folgueroles,Barcelona,Folgueroles,8083
Fombellida,Valladolid,Fombellida,47062
Fombuena,Zaragoza,Fombuena,50108
Fompedraza,Valladolid,Fompedraza,47063
Foncea,La Rioja,Foncea,26062
Fondarella,Lleida,Fondarella,25093
Fondó de les Neus (el)/Hondón de las Nieves,Alicante,el Fondó de les Neus/Hondón de las Nieves,3077
Fondón,Almería,Fondón,4046
Fonelas,Granada,Fonelas,18076
Fonfría,Teruel,Fonfría,44102
Fonfría,Zamora,Fonfría,49071
Fonollosa,Barcelona,Fonollosa,8084
Fonsagrada (A),Lugo,A Fonsagrada,27018
Font d'En Carròs (la),Valencia,la Font d'en Carròs,46127
Font de la Figuera (la),Valencia,la Font de la Figuera,46128
Font-rubí,Barcelona,Font-rubí,8085
Fontanals de Cerdanya,Girona,Fontanals de Cerdanya,17069
Fontanar,Guadalajara,Fontanar,19117
Fontanarejo,Ciudad Real,Fontanarejo,13041
Fontanars dels Alforins,Valencia,Fontanars dels Alforins,46124
Fontanilles,Girona,Fontanilles,17070
Fontcoberta,Girona,Fontcoberta,17071
Fontellas,Navarra,Fontellas,31106
Fontihoyuelo,Valladolid,Fontihoyuelo,47064
Fontioso,Burgos,Fontioso,9127
Fontiveros,Ávila,Fontiveros,5074
Fonz,Huesca,Fonz,22110
Fonzaleche,La Rioja,Fonzaleche,26063
Foradada,Lleida,Foradada,25094
Foradada del Toscar,Huesca,Foradada del Toscar,22111
Forallac,Girona,Forallac,17902
Forcall,Castellón,Forcall,12061
Forcarei,Pontevedra,Forcarei,36018
Forès,Tarragona,Forès,43061
Forfoleda,Salamanca,Forfoleda,37130
Formentera,Illes Balears,Formentera,7024
Formentera del Segura,Alicante,Formentera del Segura,3070
Formiche Alto,Teruel,Formiche Alto,44103
Fornalutx,Illes Balears,Fornalutx,7025
Fornells de la Selva,Girona,Fornells de la Selva,17073
Fornelos de Montes,Pontevedra,Fornelos de Montes,36019
Fornes,Granada,Fornes,18077
Fórnoles,Teruel,Fórnoles,44105
