municipio,provincia,municipio_nombre_humano,codigo_ine,linea_costa_provincia,linea_montana_provincia
Benatae,Jaén,Benatae,23016,2,2
Benavent de Segrià,Lleida,Benavent de Segrià,25053,2,1
Benavente,Zamora,Benavente,49021,3,2
Benavides,León,Benavides,24015,2,1
Benavites,Valencia,Benavites,46052,1,0
Benegiles,Zamora,Benegiles,49022,3,2
Beneixama,Alicante,Beneixama,03023,1,3
Beneixida,Valencia,Beneixida,46053,1,0
Benejúzar,Alicante,Benejúzar,03024,1,3
Benetússer,Valencia,Benetússer,46054,1,0
Benferri,Alicante,Benferri,03025,1,3
Beniarbeig,Alicante,Beniarbeig,03026,1,3
Beniardá,Alicante,Beniardá,03027,1,3
Beniarjó,Valencia,Beniarjó,46055,1,0
Beniarrés,Alicante,Beniarrés,03028,1,3
Beniatjar,Valencia,Beniatjar,46056,1,0
Benicarló,Castellón,Benicarló,12027,1,2
Benicasim/Benicàssim,Castellón,Benicasim/Benicàssim,12028,1,2
Benicolet,Valencia,Benicolet,46057,1,0
Benicull de Xúquer,Valencia,Benicull de Xúquer,46904,1,0
Benidoleig,Alicante,Benidoleig,03030,1,3
Benidorm,Alicante,Benidorm,03031,1,3
Beniel,Murcia,Beniel,30010,1,2
Benifaió,Valencia,Benifaió,46060,1,0
Benifairó de la Valldigna,Valencia,Benifairó de la Valldigna,46059,1,0
Benifairó de les Valls,Valencia,Benifairó de les Valls,46058,1,0
Benifallet,Tarragona,Benifallet,43025,1,2
Benifallim,Alicante,Benifallim,03032,1,3
Benifato,Alicante,Benifato,03033,1,3
Beniflá,Valencia,Beniflá,46061,1,0
Benigànim,Valencia,Benigànim,46062,1,0
Benigembla,Alicante,Benigembla,03029,1,3
Benijófar,Alicante,Benijófar,03034,1,3
Benilloba,Alicante,Benilloba,03035,1,3
Benillup,Alicante,Benillup,03036,1,3
Benimantell,Alicante,Benimantell,03037,1,3
Benimarfull,Alicante,Benimarfull,03038,1,3
Benimassot,Alicante,Benimassot,03039,1,3
Benimeli,Alicante,Benimeli,03040,1,3
Benimodo,Valencia,Benimodo,46063,1,0
Benimuslem,Valencia,Benimuslem,46064,1,0
Beniparrell,Valencia,Beniparrell,46065,1,0
Benirredrà,Valencia,Benirredrà,46066,1,0
Benissa,Alicante,Benissa,03041,1,3
Benissanet,Tarragona,Benissanet,43026,1,2
Benissanó,Valencia,Benissanó,46067,1,0
Benissoda,Valencia,Benissoda,46068,1,0
Benissuera,Valencia,Benissuera,46069,1,0
Benitachell/Poble Nou de Benitatxell (El),Alicante,El Benitachell/Poble Nou de Benitatxell,03042,1,3
Benitagla,Almería,Benitagla,04026,1,2
Benizalón,Almería,Benizalón,04027,1,2
Benlloc,Castellón,Benlloc,12029,1,2
Benquerencia,Cáceres,Benquerencia,10027,0,3
Benquerencia de la Serena,Badajoz,Benquerencia de la Serena,06018,3,0
Bentarique,Almería,Bentarique,04028,1,2
Benuza,León,Benuza,24016,2,1
Bera,Navarra,Bera,31250,2,2
Berango,Bizkaia,Berango,48016,1,2
Berantevilla,Álava,Berantevilla,01014,2,2
Beranuy,Huesca,Beranuy,22246,2,1
Berastegi,Gipuzkoa,Berastegi,20022,1,2
Beratón,Soria,Beratón,42034,3,1
Berbegal,Huesca,Berbegal,22055,2,1
Berberana,Burgos,Berberana,09050,2,2
Berbinzana,Navarra,Berbinzana,31053,2,2
Berceo,La Rioja,Berceo,26027,2,2
Bercero,Valladolid,Bercero,47017,3,0
Berceruelo,Valladolid,Berceruelo,47018,3,0
Bérchules,Granada,Bérchules,18030,1,1
Bercial,Segovia,Bercial,40028,3,1
Bercial de Zapardiel,Ávila,Bercial de Zapardiel,05026,0,1
Bercianos del Páramo,León,Bercianos del Páramo,24017,2,1
Bercianos del Real Camino,León,Bercianos del Real Camino,24018,2,1
Bercimuel,Segovia,Bercimuel,40029,3,1
Berdejo,Zaragoza,Berdejo,50047,2,1
Berga,Barcelona,Berga,08022,1,2
Bergara,Gipuzkoa,Bergara,20074,1,2
Bergasa,La Rioja,Bergasa,26028,2,2
Bergasillas Bajera,La Rioja,Bergasillas Bajera,26029,2,2
Berge,Teruel,Berge,44040,2,1
Bergondo,A Coruña,Bergondo,15008,1,3
Beriáin,Navarra,Beriáin,31905,2,2
Berja,Almería,Berja,04029,1,2
Berlanas (Las),Ávila,Las Berlanas,05027,0,1
Berlanga,Badajoz,Berlanga,06019,3,0
Berlanga de Duero,Soria,Berlanga de Duero,42035,3,1
Berlanga del Bierzo,León,Berlanga del Bierzo,24019,2,1
Berlangas de Roa,Burgos,Berlangas de Roa,09051,2,2
Bermellar,Salamanca,Bermellar,37049,0,2
Bermeo,Bizkaia,Bermeo,48017,1,2
Bermillo de Sayago,Zamora,Bermillo de Sayago,49023,3,2
Bernardos,Segovia,Bernardos,40030,3,1
Bernedo,Álava,Bernedo,01016,2,2
Berninches,Guadalajara,Berninches,19051,0,1
Bernuy de Porreros,Segovia,Bernuy de Porreros,40031,3,1
Bernuy-Zapardiel,Ávila,Bernuy-Zapardiel,05029,0,1
Berriatua,Bizkaia,Berriatua,48018,1,2
Berrioplano/Berriobeiti,Navarra,Berrioplano/Berriobeiti,31902,2,2
Berriozar,Navarra,Berriozar,31903,2,2
Berriz,Bizkaia,Berriz,48019,1,2
Berrobi,Gipuzkoa,Berrobi,20023,1,2
Berrocal,Huelva,Berrocal,21012,1,0
Berrocal de Huebra,Salamanca,Berrocal de Huebra,37050,0,2
Berrocal de Salvatierra,Salamanca,Berrocal de Salvatierra,37051,0,2
Berrocalejo,Cáceres,Berrocalejo,10028,0,3
Berrocalejo de Aragona,Ávila,Berrocalejo de Aragona,05030,0,1
Berrueces,Valladolid,Berrueces,47019,3,0
Berrueco,Zaragoza,Berrueco,50048,2,1
Berrueco (El),Madrid,El Berrueco,28021,3,2
Bertizarana,Navarra,Bertizarana,31054,2,2
Berzocana,Cáceres,Berzocana,10029,0,3
Berzosa de Bureba,Burgos,Berzosa de Bureba,09052,2,2
Berzosa del Lozoya,Madrid,Berzosa del Lozoya,28020,3,2
Berzosilla,Palencia,Berzosilla,34032,2,2
Besalú,Girona,Besalú,17019,1,1
Bescanó,Girona,Bescanó,17020,1,1
Betancuria,Las Palmas,Betancuria,35007,1,2
Betanzos,A Coruña,Betanzos,15009,1,3
Betelu,Navarra,Betelu,31055,2,2
Bétera,Valencia,Bétera,46070,1,0
Beteta,Cuenca,Beteta,16035,2,2
Betxí,Castellón,Betxí,12021,1,2
Beuda,Girona,Beuda,17021,1,1
Bezares,La Rioja,Bezares,26030,2,2
Bezas,Teruel,Bezas,44041,2,1
Biar,Alicante,Biar,03043,1,3
Bicorp,Valencia,Bicorp,46071,1,0
Bidania-Goiatz,Gipuzkoa,Bidania-Goiatz,20024,1,2
Bidaurreta,Navarra,Bidaurreta,31253,2,2
Biel,Zaragoza,Biel,50901,2,1
Bielsa,Huesca,Bielsa,22057,2,1
Bienservida,Albacete,Bienservida,02016,2,2
Bienvenida,Badajoz,Bienvenida,06020,3,0
Bierge,Huesca,Bierge,22058,2,1
Biescas,Huesca,Biescas,22059,2,1
Bigastro,Alicante,Bigastro,03044,1,3
Bigues i Riells,Barcelona,Bigues i Riells,08023,1,2
Bijuesca,Zaragoza,Bijuesca,50050,2,1
Bilbao,Bizkaia,Bilbao,48020,1,2
Bimenes,Asturias,Bimenes,33006,1,1
Binaced,Huesca,Binaced,22060,2,1
Binéfar,Huesca,Binéfar,22061,2,1
Binissalem,Illes Balears,Binissalem,07008,1,2
Biosca,Lleida,Biosca,25055,2,1
Biota,Zaragoza,Biota,50051,2,1
Bisaurri,Huesca,Bisaurri,22062,2,1
Bisbal d'Empordà (La),Girona,La Bisbal d'Empordà,17022,1,1
Bisbal de Falset (La),Tarragona,La Bisbal de Falset,43027,1,2
Bisbal del Penedès (La),Tarragona,La Bisbal del Penedès,43028,1,2
Biscarrués,Huesca,Biscarrués,22063,2,1
Bisimbre,Zaragoza,Bisimbre,50052,2,1
Biure,Girona,Biure,17234,1,1
Biurrun-Olcoz,Navarra,Biurrun-Olcoz,31056,2,2
Blacos,Soria,Blacos,42036,3,1
Blanca,Murcia,Blanca,30011,1,2
Blancafort,Tarragona,Blancafort,43029,1,2
Blancas,Teruel,Blancas,44042,2,1
Blancos (Os),Ourense,Os Blancos,32012,2,2
Blanes,Girona,Blanes,17023,1,1
Blascomillán,Ávila,Blascomillán,05033,0,1
Blasconuño de Matacabras,Ávila,Blasconuño de Matacabras,05034,0,1
Blascosancho,Ávila,Blascosancho,05035,0,1
Blázquez (Los),Córdoba,Los Blázquez,14011,2,2
Blecua y Torres,Huesca,Blecua y Torres,22064,2,1
Blesa,Teruel,Blesa,44043,2,1
Bliecos,Soria,Bliecos,42037,3,1
Boada,Salamanca,Boada,37052,0,2
Boada de Campos,Palencia,Boada de Campos,34033,2,2
Boadella i les Escaules,Girona,Boadella i les Escaules,17029,1,1
Boadilla de Rioseco,Palencia,Boadilla de Rioseco,34035,2,2
Boadilla del Camino,Palencia,Boadilla del Camino,34034,2,2
Boadilla del Monte,Madrid,Boadilla del Monte,28022,3,2
Boal,Asturias,Boal,33007,1,1
Boalo (El),Madrid,El Boalo,28023,3,2
Bobadilla,La Rioja,Bobadilla,26031,2,2
Bobadilla del Campo,Valladolid,Bobadilla del Campo,47020,3,0
Boborás,Ourense,Boborás,32013,2,2
Boca de Huérgano,León,Boca de Huérgano,24020,2,1
Bocairent,Valencia,Bocairent,46072,1,0
Boceguillas,Segovia,Boceguillas,40032,3,1
Bocigas,Valladolid,Bocigas,47021,3,0
Bocos de Duero,Valladolid,Bocos de Duero,47022,3,0
Bodera (La),Guadalajara,La Bodera,19052,0,1
Bodón (El),Salamanca,El Bodón,37054,0,2
Bodonal de la Sierra,Badajoz,Bodonal de la Sierra,06021,3,0
Boecillo,Valladolid,Boecillo,47023,3,0
Bogajo,Salamanca,Bogajo,37055,0,2
Bogarra,Albacete,Bogarra,02017,2,2
Bohodón (El),Ávila,El Bohodón,05036,0,1
Bohonal de Ibor,Cáceres,Bohonal de Ibor,10030,0,3
Bohoyo,Ávila,Bohoyo,05037,0,1
Boimorto,A Coruña,Boimorto,15010,1,3
Boiro,A Coruña,Boiro,15011,1,3
Bola (A),Ourense,A Bola,32014,2,2
Bolaños de Calatrava,Ciudad Real,Bolaños de Calatrava,13023,3,2
Bolaños de Campos,Valladolid,Bolaños de Campos,47024,3,0
Bolbaite,Valencia,Bolbaite,46073,1,0
Bollullos de la Mitación,Sevilla,Bollullos de la Mitación,41016,2,0
Bollullos Par del Condado,Huelva,Bollullos Par del Condado,21013,1,0
Bolo (O),Ourense,O Bolo,32015,2,2
Boltaña,Huesca,Boltaña,22066,2,1
Bolulla,Alicante,Bolulla,03045,1,3
Bolvir,Girona,Bolvir,17024,1,1
Bonansa,Huesca,Bonansa,22067,2,1
Bonares,Huelva,Bonares,21014,1,0
Bonastre,Tarragona,Bonastre,43030,1,2
Bonete,Albacete,Bonete,02018,2,2
Boniches,Cuenca,Boniches,16036,2,2
Bonilla de la Sierra,Ávila,Bonilla de la Sierra,05038,0,1
Bonillo (El),Albacete,El Bonillo,02019,2,2
Bonrepòs i Mirambell,Valencia,Bonrepòs i Mirambell,46074,1,0
Boñar,León,Boñar,24021,2,1
Boqueixón,A Coruña,Boqueixón,15012,1,3
Boquiñeni,Zaragoza,Boquiñeni,50053,2,1
Borau,Huesca,Borau,22068,2,1
Bordalba,Zaragoza,Bordalba,50054,2,1
Bòrdes (Es),Lleida,Es Bòrdes,25057,2,1
Bordils,Girona,Bordils,17025,1,1
Bordón,Teruel,Bordón,44044,2,1
Borge (El),Málaga,El Borge,29030,1,2
Borges Blanques (Les),Lleida,Les Borges Blanques,25058,2,1
Borges del Camp (Les),Tarragona,Les Borges del Camp,43031,1,2
Borja,Zaragoza,Borja,50055,2,1
Borjabad,Soria,Borjabad,42038,3,1
Bormujos,Sevilla,Bormujos,41017,2,0
Bornos,Cádiz,Bornos,11010,1,0
Borobia,Soria,Borobia,42039,3,1
Borox,Toledo,Borox,45021,0,2
Borrassà,Girona,Borrassà,17026,1,1
Borredà,Barcelona,Borredà,08024,1,2
Borrenes,León,Borrenes,24022,2,1
Borriana/Burriana,Castellón,Borriana/Burriana,12032,1,2
Borriol,Castellón,Borriol,12031,1,2
Bosque (El),Cádiz,El Bosque,11011,1,0
Bossòst,Lleida,Bossòst,25059,2,1
Bot,Tarragona,Bot,43032,1,2
Botarell,Tarragona,Botarell,43033,1,2
Botija,Cáceres,Botija,10031,0,3
Botorrita,Zaragoza,Botorrita,50056,2,1
Bouza (La),Salamanca,La Bouza,37056,0,2
Bóveda,Lugo,Bóveda,27008,1,2
Bóveda de Toro (La),Zamora,La Bóveda de Toro,49024,3,2
Bóveda del Río Almar,Salamanca,Bóveda del Río Almar,37057,0,2
Bovera,Lleida,Bovera,25056,2,1
Bozoó,Burgos,Bozoó,09054,2,2
Brabos,Ávila,Brabos,05039,0,1
Bràfim,Tarragona,Bràfim,43034,1,2
Brahojos de Medina,Valladolid,Brahojos de Medina,47025,3,0
Brañosera,Palencia,Brañosera,34036,2,2
Braojos,Madrid,Braojos,28024,3,2
Brazacorta,Burgos,Brazacorta,09055,2,2
Brazatortas,Ciudad Real,Brazatortas,13024,3,2
Brazuelo,León,Brazuelo,24023,2,1
Brea de Aragón,Zaragoza,Brea de Aragón,50057,2,1
Brea de Tajo,Madrid,Brea de Tajo,28025,3,2
Breda,Girona,Breda,17027,1,1
Brenes,Sevilla,Brenes,41018,2,0
Breña Alta,Santa Cruz de Tenerife,Breña Alta,38008,1,2
Breña Baja,Santa Cruz de Tenerife,Breña Baja,38009,1,2
Bretó,Zamora,Bretó,49025,3,2
Bretocino,Zamora,Bretocino,49026,3,2
Brieva,Segovia,Brieva,40033,3,1
Brieva de Cameros,La Rioja,Brieva de Cameros,26032,2,2
Brihuega,Guadalajara,Brihuega,19053,0,1
Brime de Sog,Zamora,Brime de Sog,49027,3,2
Brime de Urz,Zamora,Brime de Urz,49028,3,2
Brincones,Salamanca,Brincones,37058,0,2
Briñas,La Rioja,Briñas,26033,2,2
Brión,A Coruña,Brión,15013,1,3
Briones,La Rioja,Briones,26034,2,2
Briviesca,Burgos,Briviesca,09056,2,2
Bronchales,Teruel,Bronchales,44045,2,1
Broto,Huesca,Broto,22069,2,1
Brozas,Cáceres,Brozas,10032,0,3
Bruc (El),Barcelona,El Bruc,08025,1,2
Brull (El),Barcelona,El Brull,08026,1,2
Brunete,Madrid,Brunete,28026,3,2
Brunyola i Sant Martí Sapresa,Girona,Brunyola i Sant Martí Sapresa,17028,1,1
Buberos,Soria,Buberos,42041,3,1
Bubierca,Zaragoza,Bubierca,50058,2,1
Bubión,Granada,Bubión,18032,1,1
Buciegas,Cuenca,Buciegas,16038,2,2
Budia,Guadalajara,Budia,19054,0,1
Buenache de Alarcón,Cuenca,Buenache de Alarcón,16039,2,2
Buenache de la Sierra,Cuenca,Buenache de la Sierra,16040,2,2
Buenamadre,Salamanca,Buenamadre,37059,0,2
Buenaventura,Toledo,Buenaventura,45022,0,2
Buenavista,Salamanca,Buenavista,37060,0,2
Buenavista de Valdavia,Palencia,Buenavista de Valdavia,34037,2,2
Buenavista del Norte,Santa Cruz de Tenerife,Buenavista del Norte,38010,1,2
Buendía,Cuenca,Buendía,16041,2,2
Bueña,Teruel,Bueña,44046,2,1
Bueu,Pontevedra,Bueu,36004,1,3
Bufali,Valencia,Bufali,46075,1,0
Bugarra,Valencia,Bugarra,46076,1,0
Bugedo,Burgos,Bugedo,09057,2,2
Búger,Illes Balears,Búger,07009,1,2
Buitrago,Soria,Buitrago,42042,3,1
Buitrago del Lozoya,Madrid,Buitrago del Lozoya,28027,3,2
Bujalance,Córdoba,Bujalance,14012,2,2
Bujalaro,Guadalajara,Bujalaro,19055,0,1
Bujaraloz,Zaragoza,Bujaraloz,50059,2,1
Bularros,Ávila,Bularros,05040,0,1
Bulbuente,Zaragoza,Bulbuente,50060,2,1
Bullas,Murcia,Bullas,30012,1,2
Buniel,Burgos,Buniel,09058,2,2
Bunyola,Illes Balears,Bunyola,07010,1,2
Buñol,Valencia,Buñol,46077,1,0
Buñuel,Navarra,Buñuel,31057,2,2
Burbáguena,Teruel,Burbáguena,44047,2,1
Burela,Lugo,Burela,27902,1,2
Bureta,Zaragoza,Bureta,50061,2,1
Burganes de Valverde,Zamora,Burganes de Valverde,49029,3,2
Burgo (El),Málaga,El Burgo,29031,1,2
Burgo de Ebro (El),Zaragoza,El Burgo de Ebro,50062,2,1
Burgo de Osma-Ciudad de Osma,Soria,Burgo de Osma-Ciudad de Osma,42043,3,1
Burgo Ranero (El),León,El Burgo Ranero,24024,2,1
Burgohondo,Ávila,Burgohondo,05041,0,1
Burgos,Burgos,Burgos,09059,2,2
Burgui/Burgi,Navarra,Burgui/Burgi,31059,2,2
Burguillos,Sevilla,Burguillos,41019,2,0
Burguillos de Toledo,Toledo,Burguillos de Toledo,45023,0,2
Burguillos del Cerro,Badajoz,Burguillos del Cerro,06022,3,0
Burjassot,Valencia,Burjassot,46078,1,0
Burlada/Burlata,Navarra,Burlada/Burlata,31060,2,2
Burón,León,Burón,24025,2,1
Burujón,Toledo,Burujón,45024,0,2
Busot,Alicante,Busot,03046,1,3
Busquístar,Granada,Busquístar,18033,1,1
Bustares,Guadalajara,Bustares,19057,0,1
Bustarviejo,Madrid,Bustarviejo,28028,3,2
Buste (El),Zaragoza,El Buste,50063,2,1
Bustillo de Chaves,Valladolid,Bustillo de Chaves,47026,3,0
Bustillo de la Vega,Palencia,Bustillo de la Vega,34038,2,2
Bustillo del Oro,Zamora,Bustillo del Oro,49030,3,2
Bustillo del Páramo,León,Bustillo del Páramo,24026,2,1
Bustillo del Páramo de Carrión,Palencia,Bustillo del Páramo de Carrión,34039,2,2
Busto (El),Navarra,El Busto,31061,2,2
Busto de Bureba,Burgos,Busto de Bureba,09060,2,2
Busturia,Bizkaia,Busturia,48021,1,2
Cabacés,Tarragona,Cabacés,43035,1,2
Cabaco (El),Salamanca,El Cabaco,37061,0,2
Caballar,Segovia,Caballar,40034,3,1
Cabana de Bergantiños,A Coruña,Cabana de Bergantiños,15014,1,3
Cabanabona,Lleida,Cabanabona,25060,2,1
Cabanas,A Coruña,Cabanas,15015,1,3
Cabanelles,Girona,Cabanelles,17031,1,1
Cabanes,Girona,Cabanes,12033,1,1
Cabanes,Castellón,Cabanes,17030,1,2
Cabanillas,Navarra,Cabanillas,31062,2,2
Cabanillas de la Sierra,Madrid,Cabanillas de la Sierra,28029,3,2
Cabanillas del Campo,Guadalajara,Cabanillas del Campo,19058,0,1
Cabanyes (Les),Barcelona,Les Cabanyes,08027,1,2
Cabañas de Ebro,Zaragoza,Cabañas de Ebro,50064,2,1
Cabañas de la Sagra,Toledo,Cabañas de la Sagra,45025,0,2
Cabañas de Polendos,Segovia,Cabañas de Polendos,40035,3,1
Cabañas de Sayago,Zamora,Cabañas de Sayago,49031,3,2
Cabañas de Yepes,Toledo,Cabañas de Yepes,45026,0,2
Cabañas del Castillo,Cáceres,Cabañas del Castillo,10033,0,3
Cabañas Raras,León,Cabañas Raras,24027,2,1
Cabañes de Esgueva,Burgos,Cabañes de Esgueva,09061,2,2
Cabeza de Béjar (La),Salamanca,La Cabeza de Béjar,37063,0,2
Cabeza del Buey,Badajoz,Cabeza del Buey,06023,3,0
Cabeza del Caballo,Salamanca,Cabeza del Caballo,37065,0,2
Cabeza la Vaca,Badajoz,Cabeza la Vaca,06024,3,0
Cabezabellosa,Cáceres,Cabezabellosa,10034,0,3
Cabezabellosa de la Calzada,Salamanca,Cabezabellosa de la Calzada,37062,0,2
Cabezamesada,Toledo,Cabezamesada,45027,0,2
Cabezarados,Ciudad Real,Cabezarados,13025,3,2
Cabezarrubias del Puerto,Ciudad Real,Cabezarrubias del Puerto,13026,3,2
Cabezas de Alambre,Ávila,Cabezas de Alambre,05042,0,1
Cabezas de San Juan (Las),Sevilla,Las Cabezas de San Juan,41020,2,0
Cabezas del Pozo,Ávila,Cabezas del Pozo,05043,0,1
Cabezas del Villar,Ávila,Cabezas del Villar,05044,0,1
Cabezas Rubias,Huelva,Cabezas Rubias,21015,1,0
Cabezón de Cameros,La Rioja,Cabezón de Cameros,26035,2,2
Cabezón de la Sal,Cantabria,Cabezón de la Sal,39012,1,1
Cabezón de la Sierra,Burgos,Cabezón de la Sierra,09062,2,2
Cabezón de Liébana,Cantabria,Cabezón de Liébana,39013,1,1
Cabezón de Pisuerga,Valladolid,Cabezón de Pisuerga,47027,3,0
Cabezón de Valderaduey,Valladolid,Cabezón de Valderaduey,47028,3,0
Cabezuela,Segovia,Cabezuela,40036,3,1
Cabezuela del Valle,Cáceres,Cabezuela del Valle,10035,0,3
Cabizuela,Ávila,Cabizuela,05045,0,1
Cabó,Lleida,Cabó,25061,2,1
Cabolafuente,Zaragoza,Cabolafuente,50065,2,1
Cabra,Córdoba,Cabra,14013,2,2
Cabra de Mora,Teruel,Cabra de Mora,44048,2,1
Cabra del Camp,Tarragona,Cabra del Camp,43036,1,2
Cabra del Santo Cristo,Jaén,Cabra del Santo Cristo,23017,2,2
Cabrales,Asturias,Cabrales,33008,1,1
Cabranes,Asturias,Cabranes,33009,1,1
Cabredo,Navarra,Cabredo,31063,2,2
Cabrejas del Campo,Soria,Cabrejas del Campo,42044,3,1
Cabrejas del Pinar,Soria,Cabrejas del Pinar,42045,3,1
Cabrera (La),Madrid,La Cabrera,28030,3,2
Cabrera d'Anoia,Barcelona,Cabrera d'Anoia,08028,1,2
Cabrera de Mar,Barcelona,Cabrera de Mar,08029,1,2
Cabrerizos,Salamanca,Cabrerizos,37067,0,2
Cabrero,Cáceres,Cabrero,10036,0,3
Cabreros del Monte,Valladolid,Cabreros del Monte,47029,3,0
Cabreros del Río,León,Cabreros del Río,24028,2,1
Cabrillanes,León,Cabrillanes,24029,2,1
Cabrillas,Salamanca,Cabrillas,37068,0,2
Cabrils,Barcelona,Cabrils,08030,1,2
Cabuérniga,Cantabria,Cabuérniga,39014,1,1
Cacabelos,León,Cacabelos,24030,2,1
Cáceres,Cáceres,Cáceres,10037,0,3
Cachorrilla,Cáceres,Cachorrilla,10038,0,3
Cacín,Granada,Cacín,18034,1,1
Cadalso,Cáceres,Cadalso,10039,0,3
Cadalso de los Vidrios,Madrid,Cadalso de los Vidrios,28031,3,2
Cadaqués,Girona,Cadaqués,17032,1,1
Cádiar,Granada,Cádiar,18035,1,1
Cádiz,Cádiz,Cádiz,11012,1,0
Cadreita,Navarra,Cadreita,31064,2,2
Cadrete,Zaragoza,Cadrete,50066,2,1
Cájar,Granada,Cájar,18036,1,1
Cala,Huelva,Cala,21016,1,0
Calabazas de Fuentidueña,Segovia,Calabazas de Fuentidueña,40037,3,1
Calaceite,Teruel,Calaceite,44049,2,1
Calaf,Barcelona,Calaf,08031,1,2
Calafell,Tarragona,Calafell,43037,1,2
Calahorra,La Rioja,Calahorra,26036,2,2
Calahorra (La),Granada,La Calahorra,18114,1,1
Calahorra de Boedo,Palencia,Calahorra de Boedo,34041,2,2
Calamocha,Teruel,Calamocha,44050,2,1
Calamonte,Badajoz,Calamonte,06025,3,0
Calanda,Teruel,Calanda,44051,2,1
Calañas,Huelva,Calañas,21017,1,0
Calasparra,Murcia,Calasparra,30013,1,2
Calatañazor,Soria,Calatañazor,42046,3,1
Calatayud,Zaragoza,Calatayud,50067,2,1
Calatorao,Zaragoza,Calatorao,50068,2,1
Calcena,Zaragoza,Calcena,50069,2,1
Caldas de Reis,Pontevedra,Caldas de Reis,36005,1,3
Caldearenas,Huesca,Caldearenas,22072,2,1
Calders,Barcelona,Calders,08034,1,2
Caldes d'Estrac,Barcelona,Caldes d'Estrac,08032,1,2
Caldes de Malavella,Girona,Caldes de Malavella,17033,1,1
Caldes de Montbui,Barcelona,Caldes de Montbui,08033,1,2
Calella,Barcelona,Calella,08035,1,2
Calera de León,Badajoz,Calera de León,06026,3,0
Calera y Chozas,Toledo,Calera y Chozas,45028,0,2
Caleruega,Burgos,Caleruega,09064,2,2
Caleruela,Toledo,Caleruela,45029,0,2
Calicasas,Granada,Calicasas,18037,1,1
Càlig,Castellón,Càlig,12034,1,2
Calldetenes,Barcelona,Calldetenes,08037,1,2
Calles,Valencia,Calles,46079,1,0
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià,03048,1,3
Callosa de Segura,Alicante,Callosa de Segura,03049,1,3
Callús,Barcelona,Callús,08038,1,2
Calmarza,Zaragoza,Calmarza,50070,2,1
Calomarde,Teruel,Calomarde,44052,2,1
Calonge de Segarra,Barcelona,Calonge de Segarra,08036,1,2
Calonge i Sant Antoni,Girona,Calonge i Sant Antoni,17034,1,1
Calp,Alicante,Calp,03047,1,3
Caltojar,Soria,Caltojar,42048,3,1
Calvarrasa de Abajo,Salamanca,Calvarrasa de Abajo,37069,0,2
Calvarrasa de Arriba,Salamanca,Calvarrasa de Arriba,37070,0,2
Calvià,Illes Balears,Calvià,07011,1,2
Calvos de Randín,Ourense,Calvos de Randín,32016,2,2
Calzada de Béjar (La),Salamanca,La Calzada de Béjar,37071,0,2
Calzada de Calatrava,Ciudad Real,Calzada de Calatrava,13027,3,2
Calzada de Don Diego,Salamanca,Calzada de Don Diego,37072,0,2
Calzada de los Molinos,Palencia,Calzada de los Molinos,34042,2,2
Calzada de Oropesa,Toledo,Calzada de Oropesa,45030,0,2
Calzada de Valdunciel,Salamanca,Calzada de Valdunciel,37073,0,2
Calzada del Coto,León,Calzada del Coto,24031,2,1
Calzadilla,Cáceres,Calzadilla,10040,0,3
Calzadilla de los Barros,Badajoz,Calzadilla de los Barros,06027,3,0
Calzadilla de Tera,Zamora,Calzadilla de Tera,49032,3,2
Camaleño,Cantabria,Camaleño,39015,1,1
Camañas,Teruel,Camañas,44053,2,1
Camarasa,Lleida,Camarasa,25062,2,1
Camarena,Toledo,Camarena,45031,0,2
Camarena de la Sierra,Teruel,Camarena de la Sierra,44054,2,1
Camarenilla,Toledo,Camarenilla,45032,0,2
Camargo,Cantabria,Camargo,39016,1,1
Camarillas,Teruel,Camarillas,44055,2,1
Camariñas,A Coruña,Camariñas,15016,1,3
Camarles,Tarragona,Camarles,43903,1,2
Camarma de Esteruelas,Madrid,Camarma de Esteruelas,28032,3,2
Camarzana de Tera,Zamora,Camarzana de Tera,49033,3,2
Camas,Sevilla,Camas,41021,2,0
Cambados,Pontevedra,Cambados,36006,1,3
Cambil,Jaén,Cambil,23018,2,2
Cambre,A Coruña,Cambre,15017,1,3
Cambrils,Tarragona,Cambrils,43038,1,2
Caminomorisco,Cáceres,Caminomorisco,10041,0,3
Caminreal,Teruel,Caminreal,44056,2,1
Camós,Girona,Camós,17035,1,1
Campana (La),Sevilla,La Campana,41022,2,0
Campanario,Badajoz,Campanario,06028,3,0
Campanet,Illes Balears,Campanet,07012,1,2
Campaspero,Valladolid,Campaspero,47030,3,0
Campazas,León,Campazas,24032,2,1
Campdevànol,Girona,Campdevànol,17036,1,1
Campelles,Girona,Campelles,17037,1,1
Campello (El),Alicante,El Campello,03050,1,3
Campezo/Kanpezu,Álava,Campezo/Kanpezu,01017,2,2
Campillo (El),Huelva,El Campillo,21018,1,0
Campillo (El),Valladolid,El Campillo,47031,3,0
Campillo de Altobuey,Cuenca,Campillo de Altobuey,16042,2,2
Campillo de Aragón,Zaragoza,Campillo de Aragón,50071,2,1
Campillo de Aranda,Burgos,Campillo de Aranda,09065,2,2
Campillo de Arenas,Jaén,Campillo de Arenas,23019,2,2
Campillo de Azaba,Salamanca,Campillo de Azaba,37074,0,2
Campillo de Deleitosa,Cáceres,Campillo de Deleitosa,10042,0,3
Campillo de Dueñas,Guadalajara,Campillo de Dueñas,19059,0,1
